"language","family","script","sent_num","d_num","min_d","mean_d","max_d","min_n","mean_n","max_n","collection"
"Arabic","Afro-Asiatic","Arabic",995,17514,1,2.04847550531004,30,3,18.6020100502513,50,"PSUD"
"Czech","Indo-European","Latin",995,14976,1,2.10677083333333,29,3,16.051256281407,44,"PSUD"
"German","Indo-European","Latin",995,17544,1,2.81646146830825,38,4,18.6321608040201,50,"PSUD"
"English","Indo-European","Latin",995,17711,1,2.11710236576139,31,4,18.8,56,"PSUD"
"Finnish","Uralic","Latin",995,12465,1,2.04019253910951,22,3,13.5276381909548,39,"PSUD"
"French","Indo-European","Latin",995,21165,1,2.12922277344673,35,4,22.2713567839196,54,"PSUD"
"Hindi","Indo-European","Devanagari",995,20517,1,3.03894331529951,38,4,21.6201005025126,58,"PSUD"
"Indonesian","Austronesian","Latin",995,16311,1,1.99938691680461,27,3,17.3929648241206,47,"PSUD"
"Icelandic","Indo-European","Latin",995,15860,1,1.91954602774275,34,3,16.9396984924623,52,"PSUD"
"Italian","Indo-European","Latin",995,20413,1,2.10429628178122,35,3,21.5155778894472,60,"PSUD"
"Japanese","Japonic","Japanese",995,24703,1,2.72772537748452,67,4,25.827135678392,70,"PSUD"
"Korean","Koreanic","Hangul",995,13978,1,2.70317642008871,38,3,15.0482412060302,43,"PSUD"
"Polish","Indo-European","Latin",995,14720,1,1.99755434782609,27,3,15.7939698492462,39,"PSUD"
"Portuguese","Indo-European","Latin",995,19808,1,2.1342386914378,34,4,20.9075376884422,58,"PSUD"
"Russian","Indo-European","Cyrillic",995,15369,1,2.04691261630555,32,3,16.4462311557789,47,"PSUD"
"Spanish","Indo-European","Latin",995,19986,1,2.13194235965176,31,3,21.086432160804,58,"PSUD"
"Swedish","Indo-European","Latin",995,16119,1,2.07320553384205,31,4,17.2,49,"PSUD"
"Thai","Kra-Dai","Thai",995,21034,1,2.2025767804507,39,4,22.1396984924623,63,"PSUD"
"Turkish","Turkic","Latin",995,13727,1,2.85575872368325,33,3,14.7959798994975,37,"PSUD"
"Chinese","Sino-Tibetan","Han",995,17501,1,2.98720073138678,39,3,18.5889447236181,49,"PSUD"
"Arabic","Afro-Asiatic","Arabic",995,17514,1,2.3015302044079,30,3,18.6020100502513,50,"PUD"
"Czech","Indo-European","Latin",995,14976,1,2.39403044871795,29,3,16.051256281407,44,"PUD"
"German","Indo-European","Latin",995,17544,1,3.10818513451892,42,4,18.6321608040201,50,"PUD"
"English","Indo-European","Latin",995,17711,1,2.52904974309751,31,4,18.8,56,"PUD"
"Finnish","Uralic","Latin",995,12465,1,2.24235860409146,21,3,13.5276381909548,39,"PUD"
"French","Indo-European","Latin",995,21165,1,2.52440349633829,36,4,22.2713567839196,54,"PUD"
"Hindi","Indo-European","Devanagari",995,20517,1,3.30062874689282,42,4,21.6201005025126,58,"PUD"
"Indonesian","Austronesian","Latin",995,16311,1,2.26313530746122,27,3,17.3929648241206,47,"PUD"
"Icelandic","Indo-European","Latin",995,15860,1,2.31626733921816,34,3,16.9396984924623,52,"PUD"
"Italian","Indo-European","Latin",995,20413,1,2.48184980159702,35,3,21.5155778894472,60,"PUD"
"Japanese","Japonic","Japanese",995,24703,1,2.97028700967494,65,4,25.827135678392,70,"PUD"
"Korean","Koreanic","Hangul",995,13978,1,2.74767491772786,37,3,15.0482412060302,43,"PUD"
"Polish","Indo-European","Latin",995,14720,1,2.22683423913043,27,3,15.7939698492462,39,"PUD"
"Portuguese","Indo-European","Latin",995,19808,1,2.52766558966074,34,4,20.9075376884422,58,"PUD"
"Russian","Indo-European","Cyrillic",995,15369,1,2.27041447068775,32,3,16.4462311557789,47,"PUD"
"Spanish","Indo-European","Latin",995,19986,1,2.50475332732913,32,3,21.086432160804,58,"PUD"
"Swedish","Indo-European","Latin",995,16119,1,2.47366461939326,31,4,17.2,49,"PUD"
"Thai","Kra-Dai","Thai",995,21034,1,2.44361509936294,38,4,22.1396984924623,63,"PUD"
"Turkish","Turkic","Latin",995,13727,1,2.91287244117433,34,3,14.7959798994975,37,"PUD"
"Chinese","Sino-Tibetan","Han",995,17501,1,3.09193760356551,39,3,18.5889447236181,49,"PUD"
